ValuationDate=2023-12-04
Cut=1700LON
SDKey,Status,BaseCurrency,TermCurrency,Tenor,SpotMid,SpotDate,FwdRateMid,FwdPtsMid,InterestDays,DeliveryDays,DeliveryDate,FwdPtsMidMktConvention
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_3M,Succeeded,EUR,GBP,3M,0.85692,2023-12-06,0.8597682,0.002848,91,,2024-03-06,28.48
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_3W,Succeeded,EUR,GBP,3WK,0.85692,2023-12-06,0.8575213,0.000601,21,,2023-12-28,6.01
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_3Y,Succeeded,EUR,GBP,3YR,0.85692,2023-12-06,0.9034044,0.046484,1097,,2026-12-07,464.84
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_4Y,Succeeded,EUR,GBP,4YR,0.85692,2023-12-06,0.9161398,0.05922,1461,,2027-12-06,592.2
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_5Y,Succeeded,EUR,GBP,5YR,0.85692,2023-12-06,0.9272903,0.07037,1827,,2028-12-06,703.7
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_6M,Succeeded,EUR,GBP,6M,0.85692,2023-12-06,0.8631234,0.006203,183,,2024-06-06,62.03
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_6W,Succeeded,EUR,GBP,6WK,0.85692,2023-12-06,0.8582404,0.00132,42,,2024-01-17,13.2
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_7Y,Succeeded,EUR,GBP,7YR,0.85692,2023-12-06,0.945787,0.088867,2557,,2030-12-06,888.67
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_9M,Succeeded,EUR,GBP,9M,0.85692,2023-12-06,0.8670982,0.010178,275,,2024-09-06,101.78
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_ON,Succeeded,EUR,GBP,ON,0.85692,2023-12-06,0.8568621,0.000031,-2,,2023-12-05,0.31
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_SN,Succeeded,EUR,GBP,SN,0.85692,2023-12-06,0.8569485,0.000028,1,,2023-12-07,0.28
FX_CURVEFORWARD_ASSET:EURGBP_EURGBP_TN,Succeeded,EUR,GBP,TN,0.85692,2023-12-06,0.8568929,0.000027,-1,,2023-12-06,0.27
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_10Y,Succeeded,JPY,GBP,10YR,0.005380393845,2023-12-06,0.0076774,0.002297,3653,,2033-12-06,0.2297
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_15M,Succeeded,JPY,GBP,15M,0.005380393845,2023-12-06,0.0057463,0.000366,456,,2025-03-06,0.0366
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_18M,Succeeded,JPY,GBP,18M,0.005380393845,2023-12-06,0.0058109,0.000431,548,,2025-06-06,0.0431
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_1M,Succeeded,JPY,GBP,1M,0.005380393845,2023-12-06,0.0054089,0.000029,34,,2024-01-09,0.0029
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_1W,Succeeded,JPY,GBP,1WK,0.005380393845,2023-12-06,0.005386,0.000006,7,,2023-12-13,0.0006
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_1Y,Succeeded,JPY,GBP,12M,0.005380393845,2023-12-06,0.0056771,0.000297,366,,2024-12-06,0.0297
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_2M,Succeeded,JPY,GBP,2M,0.005380393845,2023-12-06,0.0054318,0.000051,62,,2024-02-06,0.0051
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_2W,Succeeded,JPY,GBP,2WK,0.005380393845,2023-12-06,0.0053916,0.000011,14,,2023-12-20,0.0011
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_2Y,Succeeded,JPY,GBP,2YR,0.005380393845,2023-12-06,0.0059323,0.000552,733,,2025-12-08,0.0552
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_3M,Succeeded,JPY,GBP,3M,0.005380393845,2023-12-06,0.0054558,0.000075,91,,2024-03-06,0.0075
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_3W,Succeeded,JPY,GBP,3WK,0.005380393845,2023-12-06,0.0053972,0.000017,21,,2023-12-28,0.0017
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_3Y,Succeeded,JPY,GBP,3YR,0.005380393845,2023-12-06,0.0061634,0.000783,1097,,2026-12-07,0.0783
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_4Y,Succeeded,JPY,GBP,4YR,0.005380393845,2023-12-06,0.0063865,0.001006,1461,,2027-12-06,0.1006
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_5Y,Succeeded,JPY,GBP,5YR,0.005380393845,2023-12-06,0.006603,0.001223,1827,,2028-12-06,0.1223
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_6M,Succeeded,JPY,GBP,6M,0.005380393845,2023-12-06,0.0055322,0.000152,183,,2024-06-06,0.0152
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_6W,Succeeded,JPY,GBP,6WK,0.005380393845,2023-12-06,0.0054155,0.000035,42,,2024-01-17,0.0035
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_7Y,Succeeded,JPY,GBP,7YR,0.005380393845,2023-12-06,0.0070217,0.001641,2557,,2030-12-06,0.1641
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_9M,Succeeded,JPY,GBP,9M,0.005380393845,2023-12-06,0.0056065,0.000226,275,,2024-09-06,0.0226
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_ON,Succeeded,JPY,GBP,ON,0.005380393845,2023-12-06,0.0053788,0.000001,-2,,2023-12-05,0.00010
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_SN,Succeeded,JPY,GBP,SN,0.005380393845,2023-12-06,0.0053812,0.000001,1,,2023-12-07,0.00010
FX_CURVEFORWARD_ASSET:JPYGBP_JPYGBP_TN,Succeeded,JPY,GBP,TN,0.005380393845,2023-12-06,0.0053796,0.000001,-1,,2023-12-06,0.00010
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_10Y,Succeeded,CAD,GBP,10YR,0.584781642535,2023-12-06,0.6054887,0.020707,3653,,2033-12-06,207.07
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_15M,Succeeded,CAD,GBP,15M,0.584781642535,2023-12-06,0.5885445,0.003763,456,,2025-03-06,37.63
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_18M,Succeeded,CAD,GBP,18M,0.584781642535,2023-12-06,0.5893952,0.004614,548,,2025-06-06,46.14
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_1M,Succeeded,CAD,GBP,1M,0.584781642535,2023-12-06,0.584915,0.000133,33,,2024-01-08,1.33
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_1W,Succeeded,CAD,GBP,1WK,0.584781642535,2023-12-06,0.5848066,0.000025,7,,2023-12-13,0.25
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_1Y,Succeeded,CAD,GBP,12M,0.584781642535,2023-12-06,0.5876014,0.00282,366,,2024-12-06,28.2
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_2M,Succeeded,CAD,GBP,2M,0.584781642535,2023-12-06,0.5850462,0.000265,62,,2024-02-06,2.65
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_2W,Succeeded,CAD,GBP,2WK,0.584781642535,2023-12-06,0.5848323,0.000051,14,,2023-12-20,0.51
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_2Y,Succeeded,CAD,GBP,2YR,0.584781642535,2023-12-06,0.5911398,0.006358,733,,2025-12-08,63.58
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_3M,Succeeded,CAD,GBP,3M,0.584781642535,2023-12-06,0.585187,0.000405,91,,2024-03-06,4.05
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_3W,Succeeded,CAD,GBP,3WK,0.584781642535,2023-12-06,0.5848597,0.000078,21,,2023-12-28,0.78
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_3Y,Succeeded,CAD,GBP,3YR,0.584781642535,2023-12-06,0.594361,0.009579,1097,,2026-12-07,95.79
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_4Y,Succeeded,CAD,GBP,4YR,0.584781642535,2023-12-06,0.5974326,0.012651,1461,,2027-12-06,126.51
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_5Y,Succeeded,CAD,GBP,5YR,0.584781642535,2023-12-06,0.599391,0.014609,1827,,2028-12-06,146.09
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_6M,Succeeded,CAD,GBP,6M,0.584781642535,2023-12-06,0.585856,0.001074,183,,2024-06-06,10.74
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_6W,Succeeded,CAD,GBP,6WK,0.584781642535,2023-12-06,0.5849543,0.000173,42,,2024-01-17,1.73
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_7Y,Succeeded,CAD,GBP,7YR,0.584781642535,2023-12-06,0.6007968,0.016015,2557,,2030-12-06,160.15
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_9M,Succeeded,CAD,GBP,9M,0.584781642535,2023-12-06,0.5866761,0.001894,275,,2024-09-06,18.94
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_ON,Succeeded,CAD,GBP,ON,0.584781642535,2023-12-06,0.584774,0.000004,-2,,2023-12-05,0.04
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_SN,Succeeded,CAD,GBP,SN,0.584781642535,2023-12-06,0.5847856,0.000004,1,,2023-12-07,0.04
FX_CURVEFORWARD_ASSET:CADGBP_CADGBP_TN,Succeeded,CAD,GBP,TN,0.584781642535,2023-12-06,0.5847776,0.000004,-1,,2023-12-06,0.04
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_10Y,Succeeded,CHF,GBP,10YR,0.906827961133,2023-12-06,1.2249587,0.318131,3653,,2033-12-06,3181.31
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_15M,Succeeded,CHF,GBP,15M,0.906827961133,2023-12-06,0.950528,0.0437,456,,2025-03-06,437
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_18M,Succeeded,CHF,GBP,18M,0.906827961133,2023-12-06,0.9591981,0.05237,548,,2025-06-06,523.7
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_1M,Succeeded,CHF,GBP,1M,0.906827961133,2023-12-06,0.9099414,0.003113,33,,2024-01-08,31.13
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_1W,Succeeded,CHF,GBP,1WK,0.906827961133,2023-12-06,0.9074408,0.000613,7,,2023-12-13,6.13
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_1Y,Succeeded,CHF,GBP,12M,0.906827961133,2023-12-06,0.9417461,0.034918,366,,2024-12-06,349.18
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_2M,Succeeded,CHF,GBP,2M,0.906827961133,2023-12-06,0.9126051,0.005777,62,,2024-02-06,57.77
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_2W,Succeeded,CHF,GBP,2WK,0.906827961133,2023-12-06,0.908063,0.001235,14,,2023-12-20,12.35
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_2Y,Succeeded,CHF,GBP,2YR,0.906827961133,2023-12-06,0.9757984,0.06897,733,,2025-12-08,689.7
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_3M,Succeeded,CHF,GBP,3M,0.906827961133,2023-12-06,0.9152867,0.008459,91,,2024-03-06,84.59
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_3W,Succeeded,CHF,GBP,3WK,0.906827961133,2023-12-06,0.9086992,0.001871,21,,2023-12-28,18.71
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_3Y,Succeeded,CHF,GBP,3YR,0.906827961133,2023-12-06,1.0059814,0.099153,1097,,2026-12-07,991.53
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_4Y,Succeeded,CHF,GBP,4YR,0.906827961133,2023-12-06,1.0354797,0.128652,1461,,2027-12-06,1286.52
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_5Y,Succeeded,CHF,GBP,5YR,0.906827961133,2023-12-06,1.0647126,0.157885,1827,,2028-12-06,1578.85
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_6M,Succeeded,CHF,GBP,6M,0.906827961133,2023-12-06,0.9241042,0.017276,183,,2024-06-06,172.76
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_6W,Succeeded,CHF,GBP,6WK,0.906827961133,2023-12-06,0.9107753,0.003947,42,,2024-01-17,39.47
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_7Y,Succeeded,CHF,GBP,7YR,0.906827961133,2023-12-06,1.1216054,0.214777,2557,,2030-12-06,2147.77
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_9M,Succeeded,CHF,GBP,9M,0.906827961133,2023-12-06,0.9329891,0.026161,275,,2024-09-06,261.61
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_ON,Succeeded,CHF,GBP,ON,0.906827961133,2023-12-06,0.9067228,0.00002,-2,,2023-12-05,0.2
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_SN,Succeeded,CHF,GBP,SN,0.906827961133,2023-12-06,0.9069145,0.000087,1,,2023-12-07,0.87
FX_CURVEFORWARD_ASSET:CHFGBP_CHFGBP_TN,Succeeded,CHF,GBP,TN,0.906827961133,2023-12-06,0.9067427,0.000085,-1,,2023-12-06,0.85
